rbt_id,age,education_level,years_experience,company_tenure,hourly_wage,caseload_size,weekly_hours,travel_time_per_week,supervision_hours_last_month,bcba_feedback_score,rbt_support_rating,supervision_helpfulness_score,bcba_communication_score,bcba_goal_communication_score,supervision_frequency_last_3_months,burnout_score,work_life_balance,turnover_status
RBT_1,26,High School,3.5,6.3,23,7,26,1,6,5,5,2,5,3,6,5,3,0
RBT_2,39,Bachelor's,4.6,1.0,23,7,38,1,8,2,3,4,3,1,3,2,1,0
RBT_3,48,Bachelor's,6.6,6.9,20,10,27,9,1,4,5,3,3,2,14,4,3,0
RBT_4,34,High School,7.6,1.6,27,10,36,0,6,4,2,3,3,3,8,7,3,0
RBT_5,30,High School,2.7,0.3,25,3,26,8,2,1,2,2,2,4,6,2,4,1
RBT_6,27,High School,4.4,7.0,20,7,20,6,3,3,4,5,2,1,8,6,5,0
RBT_7,48,Bachelor's,3.1,2.1,26,7,27,9,6,2,3,1,3,3,10,5,1,0
RBT_8,40,High School,2.4,4.7,28,10,38,2,2,2,4,1,4,2,12,3,1,1
RBT_9,26,High School,7.9,1.4,18,3,39,1,4,5,1,1,5,2,2,5,3,0
RBT_10,45,High School,9.1,4.1,18,9,39,2,6,5,2,5,4,2,8,7,5,0
RBT_11,38,High School,4.0,6.3,16,9,29,6,5,2,4,5,3,3,11,3,3,0
RBT_12,42,High School,7.6,2.4,24,11,31,4,6,3,2,1,5,1,5,8,2,0
RBT_13,30,Bachelor's,9.0,4.8,18,4,20,2,6,4,2,1,2,5,10,7,1,0
RBT_14,30,High School,8.5,1.5,22,5,23,8,8,1,1,5,1,2,14,4,4,0
RBT_15,43,Bachelor's,2.2,4.4,27,6,23,1,9,4,2,1,1,1,14,5,4,0
RBT_16,40,High School,9.6,2.5,24,3,28,6,5,1,4,5,5,4,12,4,4,0
RBT_17,23,Bachelor's,4.1,1.6,16,9,34,9,6,3,3,4,4,4,4,2,1,0
RBT_18,27,Bachelor's,3.7,2.3,23,5,34,5,6,2,5,2,5,1,3,9,1,1
RBT_19,43,Bachelor's,1.1,1.4,28,5,26,5,6,3,4,2,4,4,12,1,4,0
RBT_20,22,Bachelor's,5.1,6.3,15,5,31,6,2,2,1,5,4,4,9,8,1,0
RBT_21,41,High School,1.5,2.9,27,10,22,5,4,5,5,1,1,2,10,4,4,0
RBT_22,40,High School,2.9,1.9,16,11,39,1,1,1,2,2,2,3,7,9,2,0
RBT_23,21,Bachelor's,3.5,3.2,29,4,28,4,1,5,4,3,3,3,7,3,2,0
RBT_24,43,Master's,8.2,2.4,16,3,33,2,1,2,5,1,2,3,6,7,2,1
RBT_25,31,Bachelor's,8.8,5.3,25,11,32,8,7,1,4,5,3,3,9,3,3,0
RBT_26,49,Bachelor's,3.4,6.8,27,8,31,7,1,1,2,3,1,1,3,7,3,0
RBT_27,25,Bachelor's,8.7,3.2,29,11,20,9,6,5,4,5,3,2,14,2,5,0
RBT_28,21,High School,8.6,6.1,28,8,38,1,2,1,1,1,4,1,1,3,5,1
RBT_29,47,High School,7.8,4.0,20,4,35,0,6,2,5,4,5,4,7,8,5,1
RBT_30,40,Bachelor's,1.9,1.3,29,3,31,3,6,2,5,4,3,2,9,7,2,0
RBT_31,20,Master's,7.1,4.9,28,10,29,3,3,5,5,4,2,5,6,3,2,0
RBT_32,31,High School,9.5,3.7,21,5,21,9,8,3,4,1,1,3,10,8,2,0
RBT_33,45,Bachelor's,7.0,4.6,27,3,37,1,4,2,2,1,1,4,2,9,1,1
RBT_34,41,High School,3.7,6.2,29,10,32,6,7,2,4,3,5,3,13,2,1,0
RBT_35,48,Bachelor's,5.3,3.2,29,3,25,2,4,1,4,1,4,3,8,2,2,0
RBT_36,31,High School,6.6,6.3,17,10,31,6,1,1,5,1,4,3,9,7,4,0
RBT_37,44,High School,5.4,5.3,25,3,23,6,6,2,2,3,1,5,10,8,5,0
RBT_38,36,Bachelor's,1.6,3.5,23,11,20,0,5,5,3,3,4,4,8,5,3,0
RBT_39,46,High School,3.5,4.3,19,11,30,5,9,3,2,5,5,3,9,2,5,0
RBT_40,46,Bachelor's,8.1,2.4,19,11,27,3,9,1,4,2,1,3,1,5,4,1
RBT_41,29,Bachelor's,8.7,6.9,25,5,21,7,8,1,1,2,4,2,3,3,1,0
RBT_42,47,Master's,1.8,4.7,26,6,21,7,7,3,2,5,3,3,3,9,2,0
RBT_43,47,High School,9.5,0.5,18,7,35,2,2,1,5,4,3,2,14,2,1,0
RBT_44,35,High School,3.6,2.4,23,8,20,3,8,5,1,1,4,4,9,9,1,0
RBT_45,34,High School,6.8,4.4,22,11,23,0,3,1,3,3,3,4,3,2,4,0
RBT_46,49,Master's,7.6,0.6,26,6,25,9,6,1,3,3,5,4,14,1,1,1
RBT_47,49,Master's,8.2,0.4,18,8,39,1,7,2,1,4,2,2,10,6,1,0
RBT_48,34,Bachelor's,9.5,3.3,18,3,33,6,6,5,3,3,5,5,1,6,5,1
RBT_49,49,Bachelor's,3.5,2.5,16,4,39,6,5,5,1,4,5,5,3,4,5,0
RBT_50,38,Bachelor's,8.7,3.2,23,10,34,8,4,2,4,5,4,3,2,2,4,0
RBT_51,31,Bachelor's,1.8,2.0,17,6,26,9,2,4,1,4,5,4,9,3,2,0
RBT_52,42,High School,7.2,1.3,18,9,26,8,9,3,4,2,4,1,14,6,5,1
RBT_53,39,Bachelor's,7.5,4.9,28,6,37,8,7,5,5,4,1,3,1,4,1,0
RBT_54,44,High School,6.9,3.7,21,11,21,5,7,4,5,5,4,5,11,5,3,0
RBT_55,22,Bachelor's,2.9,1.6,24,11,39,7,4,3,3,4,4,5,2,9,5,0
RBT_56,24,Bachelor's,8.8,2.4,22,6,34,8,5,5,1,5,1,4,1,5,3,0
RBT_57,38,Bachelor's,2.1,4.2,22,10,20,6,6,1,4,2,2,2,9,8,2,0
RBT_58,26,High School,1.0,0.7,18,8,36,3,2,5,5,1,1,3,7,2,1,0
RBT_59,40,High School,7.3,1.2,29,3,39,3,4,3,5,5,4,2,14,6,5,1
RBT_60,28,High School,5.0,0.7,21,9,32,5,4,4,5,1,3,5,13,6,2,0
RBT_61,26,High School,8.6,5.7,24,3,31,3,4,1,3,5,4,4,1,5,4,0
RBT_62,37,High School,4.1,5.3,15,5,34,6,7,3,5,4,1,5,13,6,2,1
RBT_63,23,Master's,2.1,5.3,20,10,24,7,7,3,2,1,4,4,13,5,4,0
RBT_64,44,Bachelor's,8.4,5.1,20,11,26,7,7,5,3,5,1,1,10,2,4,0
RBT_65,47,High School,5.7,4.8,20,5,27,7,7,2,1,5,5,2,12,5,5,1
RBT_66,33,High School,2.3,3.4,26,3,33,1,2,2,2,1,2,3,6,1,3,0
RBT_67,37,High School,7.3,4.6,16,3,23,9,5,1,3,5,2,4,5,3,4,0
RBT_68,45,Bachelor's,5.4,0.5,22,9,33,1,2,3,3,1,1,1,10,7,1,0
RBT_69,28,Bachelor's,6.2,4.4,28,7,29,1,5,4,4,2,2,1,14,4,5,0
RBT_70,45,Master's,4.9,5.5,29,3,35,1,6,1,2,3,3,2,11,8,4,0
RBT_71,40,High School,8.4,3.6,29,8,30,3,3,1,2,2,3,4,5,3,5,0
RBT_72,21,Master's,8.4,2.6,19,8,33,4,6,5,2,1,2,3,4,7,1,0
